row_id,respondent_id,y,wait,eff,se,cash,p_dce
2358,132,0,1.0,0.5,2.0,800.0,0.54357179
2360,132,0,0.0,0.0,0.0,0.0,0.18576865
2361,132,1,3.0,0.5,3.0,800.0,0.51866203
2363,132,0,0.0,0.0,0.0,0.0,0.18576865
2364,132,0,1.0,0.95,3.0,200.0,0.42753168
2365,132,1,1.0,0.7,1.0,50.0,0.31154864
2366,132,0,0.0,0.0,0.0,0.0,0.18576865
2367,132,1,3.0,0.95,3.0,800.0,0.62050764
2368,132,0,0.0,0.95,2.0,50.0,0.38250106
2369,132,0,0.0,0.0,0.0,0.0,0.18576865
2371,132,1,3.0,0.7,2.0,200.0,0.33924890
2372,132,0,0.0,0.0,0.0,0.0,0.18576865
2373,132,1,6.0,0.95,1.0,800.0,0.56620945
2375,132,0,0.0,0.0,0.0,0.0,0.18576865
2576,144,0,0.0,0.0,0.0,0.0,0.18576865
2577,144,0,3.0,0.7,1.0,200.0,0.33444754
2579,144,0,0.0,0.0,0.0,0.0,0.18576865
2580,144,0,3.0,0.7,3.0,200.0,0.34408355
2581,144,0,1.0,0.95,1.0,800.0,0.63882242
2582,144,1,0.0,0.0,0.0,0.0,0.18576865
2583,144,1,0.0,0.95,3.0,800.0,0.66240185
2584,144,0,3.0,0.7,3.0,200.0,0.34408355
2585,144,0,0.0,0.0,0.0,0.0,0.18576865
2586,144,0,1.0,0.5,1.0,50.0,0.27324280
2587,144,1,6.0,0.95,1.0,200.0,0.34552419
2588,144,0,0.0,0.0,0.0,0.0,0.18576865
2589,144,1,6.0,0.95,2.0,800.0,0.57148108
2590,144,0,1.0,0.5,2.0,50.0,0.27753189
2591,144,0,0.0,0.0,0.0,0.0,0.18576865
2648,148,0,0.0,0.0,0.0,0.0,0.18576865
2649,148,0,3.0,0.7,1.0,200.0,0.33444754
2651,148,0,0.0,0.0,0.0,0.0,0.18576865
2652,148,0,3.0,0.7,3.0,200.0,0.34408355
2653,148,0,1.0,0.95,1.0,800.0,0.63882242
2654,148,1,0.0,0.0,0.0,0.0,0.18576865
2655,148,1,0.0,0.95,3.0,800.0,0.66240185
2656,148,0,3.0,0.7,3.0,200.0,0.34408355
2657,148,0,0.0,0.0,0.0,0.0,0.18576865
2658,148,0,1.0,0.5,1.0,50.0,0.27324280
2659,148,1,6.0,0.95,1.0,200.0,0.34552419
2660,148,0,0.0,0.0,0.0,0.0,0.18576865
2661,148,1,6.0,0.95,2.0,800.0,0.57148108
2662,148,0,1.0,0.5,2.0,50.0,0.27753189
2663,148,0,0.0,0.0,0.0,0.0,0.18576865
2683,150,0,3.0,0.95,2.0,50.0,0.34045694
2684,150,0,0.0,0.0,0.0,0.0,0.18576865
2685,150,0,3.0,0.7,3.0,50.0,0.29495424
2687,150,1,0.0,0.0,0.0,0.0,0.18576865
2688,150,0,1.0,0.7,3.0,50.0,0.32084294
2689,150,1,1.0,0.95,2.0,200.0,0.42227938
2690,150,0,0.0,0.0,0.0,0.0,0.18576865
2692,150,0,6.0,0.95,2.0,200.0,0.35040084
2693,150,0,0.0,0.0,0.0,0.0,0.18576865
2695,150,0,3.0,0.95,1.0,800.0,0.61033366
2696,150,1,0.0,0.0,0.0,0.0,0.18576865
2698,150,0,1.0,0.5,1.0,800.0,0.53823425
2699,150,0,0.0,0.0,0.0,0.0,0.18576865
2791,156,0,3.0,0.95,2.0,50.0,0.34045694
2792,156,0,0.0,0.0,0.0,0.0,0.18576865
2793,156,0,3.0,0.7,3.0,50.0,0.29495424
2795,156,1,0.0,0.0,0.0,0.0,0.18576865
2796,156,0,1.0,0.7,3.0,50.0,0.32084294
2797,156,1,1.0,0.95,2.0,200.0,0.42227938
2798,156,0,0.0,0.0,0.0,0.0,0.18576865
2800,156,0,6.0,0.95,2.0,200.0,0.35040084
2801,156,0,0.0,0.0,0.0,0.0,0.18576865
2803,156,0,3.0,0.95,1.0,800.0,0.61033366
2804,156,1,0.0,0.0,0.0,0.0,0.18576865
2806,156,0,1.0,0.5,1.0,800.0,0.53823425
2807,156,0,0.0,0.0,0.0,0.0,0.18576865
2810,157,0,0.0,0.0,0.0,0.0,0.18576865
2811,157,0,3.0,0.7,1.0,200.0,0.33444754
2813,157,0,0.0,0.0,0.0,0.0,0.18576865
2814,157,0,3.0,0.7,3.0,200.0,0.34408355
2815,157,0,1.0,0.95,1.0,800.0,0.63882242
2816,157,1,0.0,0.0,0.0,0.0,0.18576865
2817,157,1,0.0,0.95,3.0,800.0,0.66240185
2818,157,0,3.0,0.7,3.0,200.0,0.34408355
2819,157,0,0.0,0.0,0.0,0.0,0.18576865
2820,157,0,1.0,0.5,1.0,50.0,0.27324280
2821,157,1,6.0,0.95,1.0,200.0,0.34552419
2822,157,0,0.0,0.0,0.0,0.0,0.18576865
2823,157,1,6.0,0.95,2.0,800.0,0.57148108
2824,157,0,1.0,0.5,2.0,50.0,0.27753189
2825,157,0,0.0,0.0,0.0,0.0,0.18576865
2846,159,0,0.0,0.0,0.0,0.0,0.18576865
2847,159,0,3.0,0.7,1.0,200.0,0.33444754
2849,159,0,0.0,0.0,0.0,0.0,0.18576865
2850,159,0,3.0,0.7,3.0,200.0,0.34408355
2851,159,0,1.0,0.95,1.0,800.0,0.63882242
2852,159,1,0.0,0.0,0.0,0.0,0.18576865
2853,159,1,0.0,0.95,3.0,800.0,0.66240185
2854,159,0,3.0,0.7,3.0,200.0,0.34408355
2855,159,0,0.0,0.0,0.0,0.0,0.18576865
2856,159,0,1.0,0.5,1.0,50.0,0.27324280
2857,159,1,6.0,0.95,1.0,200.0,0.34552419
2858,159,0,0.0,0.0,0.0,0.0,0.18576865
2859,159,1,6.0,0.95,2.0,800.0,0.57148108
2860,159,0,1.0,0.5,2.0,50.0,0.27753189
2861,159,0,0.0,0.0,0.0,0.0,0.18576865
2899,162,0,3.0,0.95,2.0,50.0,0.34045694
2900,162,0,0.0,0.0,0.0,0.0,0.18576865
2901,162,0,3.0,0.7,3.0,50.0,0.29495424
2903,162,1,0.0,0.0,0.0,0.0,0.18576865
2904,162,0,1.0,0.7,3.0,50.0,0.32084294
2905,162,1,1.0,0.95,2.0,200.0,0.42227938
2906,162,0,0.0,0.0,0.0,0.0,0.18576865
2908,162,0,6.0,0.95,2.0,200.0,0.35040084
2909,162,0,0.0,0.0,0.0,0.0,0.18576865
2911,162,0,3.0,0.95,1.0,800.0,0.61033366
2912,162,1,0.0,0.0,0.0,0.0,0.18576865
2914,162,0,1.0,0.5,1.0,800.0,0.53823425
2915,162,0,0.0,0.0,0.0,0.0,0.18576865
2936,164,0,0.0,0.0,0.0,0.0,0.18576865
2937,164,0,3.0,0.7,1.0,200.0,0.33444754
2939,164,0,0.0,0.0,0.0,0.0,0.18576865
2940,164,0,3.0,0.7,3.0,200.0,0.34408355
2941,164,0,1.0,0.95,1.0,800.0,0.63882242
2942,164,1,0.0,0.0,0.0,0.0,0.18576865
2943,164,1,0.0,0.95,3.0,800.0,0.66240185
2944,164,0,3.0,0.7,3.0,200.0,0.34408355
2945,164,0,0.0,0.0,0.0,0.0,0.18576865
2946,164,0,1.0,0.5,1.0,50.0,0.27324280
2947,164,1,6.0,0.95,1.0,200.0,0.34552419
2948,164,0,0.0,0.0,0.0,0.0,0.18576865
2949,164,1,6.0,0.95,2.0,800.0,0.57148108
2950,164,0,1.0,0.5,2.0,50.0,0.27753189
2951,164,0,0.0,0.0,0.0,0.0,0.18576865
3025,169,0,3.0,0.95,2.0,50.0,0.34045694
3026,169,0,0.0,0.0,0.0,0.0,0.18576865
3027,169,0,3.0,0.7,3.0,50.0,0.29495424
3029,169,1,0.0,0.0,0.0,0.0,0.18576865
3030,169,0,1.0,0.7,3.0,50.0,0.32084294
3031,169,1,1.0,0.95,2.0,200.0,0.42227938
3032,169,0,0.0,0.0,0.0,0.0,0.18576865
3034,169,0,6.0,0.95,2.0,200.0,0.35040084
3035,169,0,0.0,0.0,0.0,0.0,0.18576865
3037,169,0,3.0,0.95,1.0,800.0,0.61033366
3038,169,1,0.0,0.0,0.0,0.0,0.18576865
3040,169,0,1.0,0.5,1.0,800.0,0.53823425
3041,169,0,0.0,0.0,0.0,0.0,0.18576865
3152,176,0,0.0,0.0,0.0,0.0,0.18576865
3153,176,0,3.0,0.7,1.0,200.0,0.33444754
3155,176,0,0.0,0.0,0.0,0.0,0.18576865
3156,176,0,3.0,0.7,3.0,200.0,0.34408355
3157,176,0,1.0,0.95,1.0,800.0,0.63882242
3158,176,1,0.0,0.0,0.0,0.0,0.18576865
3159,176,1,0.0,0.95,3.0,800.0,0.66240185
3160,176,0,3.0,0.7,3.0,200.0,0.34408355
3161,176,0,0.0,0.0,0.0,0.0,0.18576865
3162,176,0,1.0,0.5,1.0,50.0,0.27324280
3163,176,1,6.0,0.95,1.0,200.0,0.34552419
3164,176,0,0.0,0.0,0.0,0.0,0.18576865
3165,176,1,6.0,0.95,2.0,800.0,0.57148108
3166,176,0,1.0,0.5,2.0,50.0,0.27753189
3167,176,0,0.0,0.0,0.0,0.0,0.18576865
3241,181,0,3.0,0.95,2.0,50.0,0.34045694
3242,181,0,0.0,0.0,0.0,0.0,0.18576865
3243,181,0,3.0,0.7,3.0,50.0,0.29495424
3245,181,1,0.0,0.0,0.0,0.0,0.18576865
3246,181,0,1.0,0.7,3.0,50.0,0.32084294
3247,181,1,1.0,0.95,2.0,200.0,0.42227938
3248,181,0,0.0,0.0,0.0,0.0,0.18576865
3250,181,0,6.0,0.95,2.0,200.0,0.35040084
3251,181,0,0.0,0.0,0.0,0.0,0.18576865
3253,181,0,3.0,0.95,1.0,800.0,0.61033366
3254,181,1,0.0,0.0,0.0,0.0,0.18576865
3256,181,0,1.0,0.5,1.0,800.0,0.53823425
3257,181,0,0.0,0.0,0.0,0.0,0.18576865
3331,186,0,3.0,0.95,2.0,50.0,0.34045694
3332,186,0,0.0,0.0,0.0,0.0,0.18576865
3333,186,0,3.0,0.7,3.0,50.0,0.29495424
3335,186,1,0.0,0.0,0.0,0.0,0.18576865
3336,186,0,1.0,0.7,3.0,50.0,0.32084294
3337,186,1,1.0,0.95,2.0,200.0,0.42227938
3338,186,0,0.0,0.0,0.0,0.0,0.18576865
3340,186,0,6.0,0.95,2.0,200.0,0.35040084
3341,186,0,0.0,0.0,0.0,0.0,0.18576865
3343,186,0,3.0,0.95,1.0,800.0,0.61033366
3344,186,1,0.0,0.0,0.0,0.0,0.18576865
3346,186,0,1.0,0.5,1.0,800.0,0.53823425
3347,186,0,0.0,0.0,0.0,0.0,0.18576865
3457,193,0,3.0,0.95,2.0,50.0,0.34045694
3458,193,0,0.0,0.0,0.0,0.0,0.18576865
3459,193,0,3.0,0.7,3.0,50.0,0.29495424
3461,193,1,0.0,0.0,0.0,0.0,0.18576865
3462,193,0,1.0,0.7,3.0,50.0,0.32084294
3463,193,1,1.0,0.95,2.0,200.0,0.42227938
3464,193,0,0.0,0.0,0.0,0.0,0.18576865
3466,193,0,6.0,0.95,2.0,200.0,0.35040084
3467,193,0,0.0,0.0,0.0,0.0,0.18576865
3469,193,0,3.0,0.95,1.0,800.0,0.61033366
3470,193,1,0.0,0.0,0.0,0.0,0.18576865
3472,193,0,1.0,0.5,1.0,800.0,0.53823425
3473,193,0,0.0,0.0,0.0,0.0,0.18576865
3638,203,0,0.0,0.0,0.0,0.0,0.18576865
3639,203,0,3.0,0.7,1.0,200.0,0.33444754
3641,203,0,0.0,0.0,0.0,0.0,0.18576865
3642,203,0,3.0,0.7,3.0,200.0,0.34408355
3643,203,0,1.0,0.95,1.0,800.0,0.63882242
3644,203,1,0.0,0.0,0.0,0.0,0.18576865
3645,203,1,0.0,0.95,3.0,800.0,0.66240185
3646,203,0,3.0,0.7,3.0,200.0,0.34408355
3647,203,0,0.0,0.0,0.0,0.0,0.18576865
3648,203,0,1.0,0.5,1.0,50.0,0.27324280
3649,203,1,6.0,0.95,1.0,200.0,0.34552419
3650,203,0,0.0,0.0,0.0,0.0,0.18576865
3651,203,1,6.0,0.95,2.0,800.0,0.57148108
3652,203,0,1.0,0.5,2.0,50.0,0.27753189
3653,203,0,0.0,0.0,0.0,0.0,0.18576865
3656,204,0,0.0,0.0,0.0,0.0,0.18576865
3657,204,0,3.0,0.7,1.0,200.0,0.33444754
3659,204,0,0.0,0.0,0.0,0.0,0.18576865
3660,204,0,3.0,0.7,3.0,200.0,0.34408355
3661,204,0,1.0,0.95,1.0,800.0,0.63882242
3662,204,1,0.0,0.0,0.0,0.0,0.18576865
3663,204,1,0.0,0.95,3.0,800.0,0.66240185
3664,204,0,3.0,0.7,3.0,200.0,0.34408355
3665,204,0,0.0,0.0,0.0,0.0,0.18576865
3666,204,0,1.0,0.5,1.0,50.0,0.27324280
3667,204,1,6.0,0.95,1.0,200.0,0.34552419
3668,204,0,0.0,0.0,0.0,0.0,0.18576865
3669,204,1,6.0,0.95,2.0,800.0,0.57148108
3670,204,0,1.0,0.5,2.0,50.0,0.27753189
3671,204,0,0.0,0.0,0.0,0.0,0.18576865
3727,208,0,3.0,0.95,2.0,50.0,0.34045694
3728,208,0,0.0,0.0,0.0,0.0,0.18576865
3729,208,0,3.0,0.7,3.0,50.0,0.29495424
3731,208,1,0.0,0.0,0.0,0.0,0.18576865
3732,208,0,1.0,0.7,3.0,50.0,0.32084294
3733,208,1,1.0,0.95,2.0,200.0,0.42227938
3734,208,0,0.0,0.0,0.0,0.0,0.18576865
3736,208,0,6.0,0.95,2.0,200.0,0.35040084
3737,208,0,0.0,0.0,0.0,0.0,0.18576865
3739,208,0,3.0,0.95,1.0,800.0,0.61033366
